product,order_total,rank
Macbook Pro Laptop,3677100.0,1.0
iPhone,2254000.0,2.0
ThinkPad Laptop,1912980.87,3.0
Google Phone,1567800.0,4.0
34in Ultrawide Monitor,1103490.96,5.0
27in 4K Gaming Monitor,1083002.23,6.0
Apple Airpods Headphones,1078200.0,7.0
Flatscreen TV,642600.0,8.0
Bose SoundSport Headphones,613238.6699999999,9.0
27in FHD Monitor,524215.05000000005,10.0
Vareebadd Phone,395600.0,11.0
20in Monitor,202491.59,12.0
LG Washing Machine,195600.0,13.0
LG Dryer,193800.0,14.0
Lightning Charging Cable,159068.0,15.0
USB-C Charging Cable,129968.2,16.0
Wired Headphones,113089.68000000001,17.0
AA Batteries (4-pack),48637.439999999995,18.0
AAA Batteries (4-pack),42054.350000000006,19.0
